combination,quantity,population,recordings_per_model,models,mean_sensitivity,min_sensitivity,max_sensitivity,M_secondary_diagnostic
D+H+M,25,locked_test,53,5,0.24150943396226415,0.1509433962264151,0.32075471698113206,True
D+H+M,50,all_eligible,276,5,0.22608695652173913,0.13405797101449277,0.3333333333333333,True
D+H+M,50,development,223,5,0.24125560538116592,0.14798206278026907,0.3452914798206278,True
D+H+M,50,locked_test,53,5,0.16226415094339622,0.07547169811320754,0.2830188679245283,True
D+H+M,all,all_eligible,276,5,0.24782608695652172,0.2246376811594203,0.2717391304347826,True
D+H+M,all,development,223,5,0.2609865470852018,0.23318385650224216,0.2825112107623318,True
D+H+M,all,locked_test,53,5,0.19245283018867926,0.1509433962264151,0.22641509433962265,True
D+M,100,all_eligible,276,5,0.14492753623188406,0.11231884057971014,0.17753623188405798,True
D+M,100,development,223,5,0.14618834080717488,0.11210762331838565,0.17937219730941703,True
D+M,100,locked_test,53,5,0.13962264150943396,0.11320754716981132,0.18867924528301888,True
D+M,200,all_eligible,276,5,0.17173913043478262,0.14492753623188406,0.19927536231884058,True
D+M,200,development,223,5,0.17757847533632287,0.14798206278026907,0.2062780269058296,True
D+M,200,locked_test,53,5,0.1471698113207547,0.1320754716981132,0.16981132075471697,True
D+M,25,all_eligible,276,5,0.21739130434782608,0.15942028985507245,0.2826086956521739,True
D+M,25,development,223,5,0.22242152466367712,0.16143497757847533,0.2914798206278027,True
D+M,25,locked_test,53,5,0.19622641509433963,0.1509433962264151,0.24528301886792453,True
D+M,50,all_eligible,276,5,0.10797101449275362,0.06521739130434782,0.15942028985507245,True
D+M,50,development,223,5,0.1147982062780269,0.06726457399103139,0.16591928251121077,True
D+M,50,locked_test,53,5,0.07924528301886792,0.03773584905660377,0.1320754716981132,True
D+M,all,all_eligible,276,5,0.15,0.13405797101449277,0.17391304347826086,True
D+M,all,development,223,5,0.15605381165919283,0.13901345291479822,0.18385650224215247,True
D+M,all,locked_test,53,5,0.12452830188679245,0.11320754716981132,0.1509433962264151,True
D+P,100,all_eligible,276,5,0.5847826086956521,0.5471014492753623,0.6014492753623188,False
D+P,100,development,223,5,0.5982062780269058,0.5650224215246636,0.6188340807174888,False
D+P,100,locked_test,53,5,0.5283018867924528,0.4716981132075472,0.5660377358490566,False
D+P,200,all_eligible,276,5,0.6246376811594203,0.605072463768116,0.6594202898550725,False
D+P,200,development,223,5,0.6403587443946188,0.6188340807174888,0.6860986547085202,False
D+P,200,locked_test,53,5,0.5584905660377358,0.5283018867924528,0.6037735849056604,False
D+P,25,all_eligible,276,5,0.5101449275362319,0.427536231884058,0.6231884057971014,False
D+P,25,development,223,5,0.5139013452914798,0.4304932735426009,0.6322869955156951,False
D+P,25,locked_test,53,5,0.49433962264150944,0.41509433962264153,0.5849056603773585,False
D+P,50,all_eligible,276,5,0.5630434782608695,0.5217391304347826,0.6376811594202898,False
D+P,50,development,223,5,0.5659192825112107,0.5246636771300448,0.6457399103139013,False
D+P,50,locked_test,53,5,0.5509433962264151,0.5094339622641509,0.6037735849056604,False
D+P,all,all_eligible,276,5,0.6108695652173913,0.5652173913043478,0.6340579710144928,False
D+P,all,development,223,5,0.6233183856502242,0.5739910313901345,0.6547085201793722,False
D+P,all,locked_test,53,5,0.5584905660377358,0.5283018867924528,0.6037735849056604,False
D+P+F,100,all_eligible,276,5,0.49782608695652175,0.35507246376811596,0.6557971014492754,False
D+P+F,100,development,223,5,0.5067264573991032,0.37668161434977576,0.6636771300448431,False
D+P+F,100,locked_test,53,5,0.46037735849056605,0.2641509433962264,0.6415094339622641,False
D+P+F,200,all_eligible,276,5,0.6297101449275362,0.5471014492753623,0.7246376811594203,False
D+P+F,200,development,223,5,0.6394618834080718,0.5650224215246636,0.7399103139013453,False
D+P+F,200,locked_test,53,5,0.5886792452830188,0.4716981132075472,0.660377358490566,False
D+P+F,25,all_eligible,276,5,0.6630434782608696,0.4420289855072464,0.7608695652173914,False
D+P+F,25,development,223,5,0.6609865470852018,0.43946188340807174,0.7623318385650224,False
D+P+F,25,locked_test,53,5,0.6716981132075471,0.4528301886792453,0.7547169811320755,False
D+P+F,50,all_eligible,276,5,0.4210144927536232,0.2463768115942029,0.605072463768116,False
D+P+F,50,development,223,5,0.42690582959641254,0.2600896860986547,0.6053811659192825,False
D+P+F,50,locked_test,53,5,0.3962264150943396,0.18867924528301888,0.6037735849056604,False
D+P+F,all,all_eligible,276,5,0.6072463768115942,0.5434782608695652,0.6702898550724637,False
D+P+F,all,development,223,5,0.6143497757847534,0.547085201793722,0.6816143497757847,False
D+P+F,all,locked_test,53,5,0.5773584905660377,0.5283018867924528,0.6792452830188679,False
D+P+F+H,100,all_eligible,276,5,0.6717391304347826,0.5942028985507246,0.782608695652174,False
D+P+F+H,100,development,223,5,0.694170403587444,0.6188340807174888,0.7937219730941704,False
D+P+F+H,100,locked_test,53,5,0.5773584905660377,0.4528301886792453,0.7358490566037735,False
