fold_type,combination,quantity,feature_mode,macro_equal_group_equal_source_BA,macro_ai_recall,macro_human_recall,macro_recording_weighted_within_experiment_BA,descriptive_mean_single_model_fold_auc,available_held_source_experiments,intended_held_source_experiments,eligible_model_count,omitted_model_count,status
human_source_holdout,S+F,all,values_plus_missing,0.6562785674384208,0.7296487819632901,0.5829083529135516,0.6392865435126732,0.70891636410464,6,6,28,2,available
human_source_holdout,S+H,25,values_plus_missing,0.5935523247794993,0.686911091619666,0.5001935579393325,0.587780167670679,0.6422468355280764,6,6,28,2,available
human_source_holdout,S+H,50,values_plus_missing,0.6042756714903157,0.6775700457979977,0.5309812971826336,0.5990520066812665,0.646678720599664,6,6,28,2,available
human_source_holdout,S+H,100,values_plus_missing,0.6013449177355646,0.6890250016452905,0.5136648338258388,0.5964684667753816,0.6570710447085368,6,6,28,2,available
human_source_holdout,S+H,200,values_plus_missing,0.6098462335742318,0.6929488986562244,0.5267435684922391,0.6011881577040428,0.6593844544955854,6,6,28,2,available
human_source_holdout,S+H,all,values_plus_missing,0.6020095109093065,0.6915792453729139,0.5124397764456992,0.5936815194332615,0.6606534758704576,6,6,28,2,available
human_source_holdout,S+SC,25,values_plus_missing,0.6023456872592597,0.6902858387621911,0.5144055357563286,0.5929305088055236,0.6363135127693302,6,6,28,2,available
human_source_holdout,S+SC,50,values_plus_missing,0.6165337845038418,0.6834081093002012,0.5496594597074823,0.6046553054807178,0.6477545070422762,6,6,28,2,available
human_source_holdout,S+SC,100,values_plus_missing,0.61305809777576,0.6850630863807757,0.5410531091707443,0.6022916979112088,0.6552587671957065,6,6,28,2,available
human_source_holdout,S+SC,200,values_plus_missing,0.6103762103179377,0.683087878877223,0.5376645417586523,0.6029292859464411,0.6543907308824378,6,6,28,2,available
human_source_holdout,S+SC,all,values_plus_missing,0.6113842199071807,0.6854352219175249,0.5373332178968365,0.6020566936535504,0.6537950037267144,6,6,28,2,available
human_source_holdout,S+BC,25,values_plus_missing,0.5935433337055845,0.6698094136064737,0.5172772538046954,0.583692093519102,0.6358322023245249,6,6,28,2,available
human_source_holdout,S+BC,50,values_plus_missing,0.6034145597128425,0.6600414606429282,0.5467876587827568,0.5960321452407678,0.650850190853042,6,6,28,2,available
human_source_holdout,S+BC,100,values_plus_missing,0.6034936864114098,0.6683449459799583,0.5386424268428612,0.5951521634383122,0.6534816171984126,6,6,28,2,available
human_source_holdout,S+BC,200,values_plus_missing,0.6079973643162498,0.6760774710403026,0.539917257592197,0.5983669311120688,0.6563727953334325,6,6,28,2,available
human_source_holdout,S+BC,all,values_plus_missing,0.6085312539075424,0.6767768115344565,0.5402856962806282,0.5969255542961328,0.6557386079020143,6,6,28,2,available
human_source_holdout,D+R,25,values_plus_missing,0.6545629863696417,0.649086523704036,0.6600394490352474,0.6515929393695895,0.7052136349265632,6,6,28,2,available
human_source_holdout,D+R,50,values_plus_missing,0.6624554305372229,0.6680452015432352,0.6568656595312105,0.6545008857997309,0.7041174672362608,6,6,28,2,available
human_source_holdout,D+R,100,values_plus_missing,0.6621616807815862,0.6671884246521352,0.6571349369110372,0.6524744954985968,0.7118821690542985,6,6,28,2,available
human_source_holdout,D+R,200,values_plus_missing,0.6580125118011958,0.6654217508484636,0.6506032727539279,0.6513152298298349,0.7098477701710099,6,6,28,2,available
human_source_holdout,D+R,all,values_plus_missing,0.6600617043812241,0.6583682615835366,0.6617551471789116,0.6502577828915209,0.7097797955330023,6,6,28,2,available
human_source_holdout,D+P,25,values_plus_missing,0.6258171538566085,0.5074775686739826,0.7441567390392344,0.6193842072958856,0.6642241413798083,6,6,28,2,available
human_source_holdout,D+P,50,values_plus_missing,0.6227477397624963,0.532010507655745,0.7134849718692476,0.6164660402384522,0.6704629695591785,6,6,28,2,available
human_source_holdout,D+P,100,values_plus_missing,0.6316003208016479,0.5358181082081098,0.7273825333951859,0.6243430772974778,0.6725326628768692,6,6,28,2,available
human_source_holdout,D+P,200,values_plus_missing,0.6288687995500674,0.5547925944308979,0.7029450046692367,0.6231704518847768,0.6717895631121197,6,6,28,2,available
human_source_holdout,D+P,all,values_plus_missing,0.6314206066816019,0.5456363439563214,0.7172048694068823,0.6262110830169546,0.6711535365812725,6,6,28,2,available
human_source_holdout,D+F,25,values_plus_missing,0.637208376592251,0.6190245791638088,0.6553921740206933,0.6300055799365486,0.665642236807846,6,6,28,2,available
human_source_holdout,D+F,50,values_plus_missing,0.6187539203189069,0.6337887260243347,0.6037191146134792,0.6136975609453877,0.6482310098466998,6,6,28,2,available
human_source_holdout,D+F,100,values_plus_missing,0.6215375037381937,0.6358501195488813,0.6072248879275063,0.611094224677951,0.6515632933463014,6,6,28,2,available
human_source_holdout,D+F,200,values_plus_missing,0.6180516977455071,0.6410410103114804,0.5950623851795337,0.6058624422937249,0.6505645884180007,6,6,28,2,available
human_source_holdout,D+F,all,values_plus_missing,0.6237778609870649,0.6421107696500291,0.6054449523241007,0.6081723944668872,0.6525623156725685,6,6,28,2,available
human_source_holdout,D+H,25,values_plus_missing,0.6380467889838508,0.6033321036603768,0.6727614743073249,0.6316492659276622,0.6733378953730577,6,6,28,2,available
human_source_holdout,D+H,50,values_plus_missing,0.6259728023968271,0.6136822156672233,0.638263389126431,0.619859405779274,0.6688240785099072,6,6,28,2,available
human_source_holdout,D+H,100,values_plus_missing,0.6312654624058888,0.6093755810988685,0.6531553437129091,0.625074111988878,0.6733143104252363,6,6,28,2,available
human_source_holdout,D+H,200,values_plus_missing,0.6284866668718704,0.6283168966404775,0.6286564371032634,0.6239026053999647,0.6688801839536556,6,6,28,2,available
human_source_holdout,D+H,all,values_plus_missing,0.6315550368586981,0.6191985184289477,0.6439115552884483,0.6244977055077331,0.6687713623563168,6,6,28,2,available
human_source_holdout,D+SC,25,values_plus_missing,0.6116146959845543,0.6108461013748319,0.6123832905942767,0.6035322593991691,0.6538627546063093,6,6,28,2,available
human_source_holdout,D+SC,50,values_plus_missing,0.6145943181277244,0.6152902180476966,0.6138984182077522,0.605843189891492,0.6559755436783148,6,6,28,2,available
human_source_holdout,D+SC,100,values_plus_missing,0.6126893010342335,0.6098636705584375,0.6155149315100296,0.6033056283978651,0.6601718120079184,6,6,28,2,available
human_source_holdout,D+SC,200,values_plus_missing,0.6100795265118957,0.6146516193030214,0.6055074337207699,0.5961388851143358,0.6566254794710323,6,6,28,2,available
human_source_holdout,D+SC,all,values_plus_missing,0.6089918134887796,0.6135006481350754,0.6044829788424836,0.5974613122239795,0.6561500795484919,6,6,28,2,available
human_source_holdout,D+BC,25,values_plus_missing,0.6123866714197502,0.5270111935362127,0.6977621493032878,0.6059175689952415,0.6576036770901137,6,6,28,2,available
human_source_holdout,D+BC,50,values_plus_missing,0.6064909619220902,0.5396363539497095,0.6733455698944709,0.6035703182522462,0.6573239322402935,6,6,28,2,available
human_source_holdout,D+BC,100,values_plus_missing,0.6068983946471727,0.529399410787106,0.6843973785072395,0.6000593084013092,0.6575021856645302,6,6,28,2,available
human_source_holdout,D+BC,200,values_plus_missing,0.6079008440113235,0.5442110356246549,0.6715906523979923,0.6011852466477042,0.6575482874050579,6,6,28,2,available
human_source_holdout,D+BC,all,values_plus_missing,0.6074410521864375,0.5402563788698767,0.6746257255029985,0.6032787284781277,0.6576189146577869,6,6,28,2,available
human_source_holdout,R+P,25,values_plus_missing,0.6119412202685217,0.6715467893225763,0.5523356512144671,0.6055445968434541,0.6550878252822604,6,6,28,2,available
human_source_holdout,R+P,50,values_plus_missing,0.6145710237106117,0.7074460742053574,0.5216959732158659,0.6146685423468632,0.6566736048942666,6,6,28,2,available
human_source_holdout,R+P,100,values_plus_missing,0.6188478805341638,0.724797495640971,0.5128982654273567,0.6174186464829843,0.6593647797796479,6,6,28,2,available
human_source_holdout,R+P,200,values_plus_missing,0.6149661295937349,0.7138809783021554,0.5160512808853145,0.6165867317548718,0.6610507723898396,6,6,28,2,available
human_source_holdout,R+P,all,values_plus_missing,0.6113035333353237,0.7068436173600894,0.515763449310558,0.6126036867879918,0.6603725244035895,6,6,28,2,available
human_source_holdout,R+F,25,values_plus_missing,0.6323722705667988,0.663583745698957,0.6011607954346406,0.6102030931445611,0.6736064993183797,6,6,28,2,available
human_source_holdout,R+F,50,values_plus_missing,0.6367436111872792,0.6770831722844237,0.5964040500901346,0.6183425001358338,0.6696963024235841,6,6,28,2,available
human_source_holdout,R+F,100,values_plus_missing,0.6330846932210189,0.6914498139238966,0.5747195725181411,0.613389711005952,0.6753086894085054,6,6,28,2,available
human_source_holdout,R+F,200,values_plus_missing,0.6378608501481632,0.6890864261312606,0.5866352741650657,0.619621336086222,0.6791715498673817,6,6,28,2,available
human_source_holdout,R+F,all,values_plus_missing,0.6485726428728086,0.689545035948114,0.6076002497975033,0.6232510730967653,0.6831942327630295,6,6,28,2,available
human_source_holdout,R+H,25,values_plus_missing,0.6464764247030806,0.7139831538395778,0.5789696955665834,0.6450124132691993,0.6821488346657215,6,6,28,2,available
human_source_holdout,R+H,50,values_plus_missing,0.6438314798056343,0.7265975098724459,0.5610654497388224,0.6341649240547494,0.6698197980605645,6,6,28,2,available
human_source_holdout,R+H,100,values_plus_missing,0.6520893355604321,0.7398354051273347,0.5643432659935295,0.6430597511667598,0.6838543327174268,6,6,28,2,available
human_source_holdout,R+H,200,values_plus_missing,0.6417592174000776,0.721621408435318,0.5618970263648372,0.6376405562931843,0.6807195586923551,6,6,28,2,available
human_source_holdout,R+H,all,values_plus_missing,0.649557494734463,0.7199091828340493,0.5792058066348765,0.6411045646532415,0.6804449411553044,6,6,28,2,available
human_source_holdout,R+SC,25,values_plus_missing,0.6195131014335389,0.748555720122643,0.49047048274443467,0.6104584251988265,0.650631283672088,6,6,28,2,available
human_source_holdout,R+SC,50,values_plus_missing,0.6090076814025258,0.7484723868786901,0.46954297592636146,0.6123379648571228,0.6531526434179875,6,6,28,2,available
human_source_holdout,R+SC,100,values_plus_missing,0.6143045674537392,0.7426833362156208,0.48592579869185765,0.6122494271831455,0.6637862630482322,6,6,28,2,available
human_source_holdout,R+SC,200,values_plus_missing,0.601485121583671,0.7368830817930182,0.46608716137432366,0.6067081922851014,0.6622769688560327,6,6,28,2,available
human_source_holdout,R+SC,all,values_plus_missing,0.6060453998629484,0.73784889375056,0.47424190597533666,0.6098014471959211,0.6641130553495094,6,6,28,2,available
human_source_holdout,R+BC,25,values_plus_missing,0.6025550987061165,0.7490117724483687,0.4560984249638644,0.6058371661159828,0.6390969309226495,6,6,28,2,available
human_source_holdout,R+BC,50,values_plus_missing,0.5962740967907837,0.7408955025682441,0.4516526910133234,0.6037308257902513,0.6360844742059764,6,6,28,2,available
human_source_holdout,R+BC,100,values_plus_missing,0.6088660083232758,0.7438795520543775,0.47385246459217406,0.608919044921325,0.6433705451275074,6,6,28,2,available
human_source_holdout,R+BC,200,values_plus_missing,0.6012244643477045,0.7326728433728915,0.46977608532251747,0.6093541738437555,0.6424296655095061,6,6,28,2,available
human_source_holdout,R+BC,all,values_plus_missing,0.6053869316039928,0.7267194118381947,0.48405445136979103,0.6047724773365069,0.6425962520841118,6,6,28,2,available
human_source_holdout,P+F,25,values_plus_missing,0.6285165239596744,0.6144977404640869,0.6425353074552619,0.6148207963771726,0.642599197396909,6,6,28,2,available
human_source_holdout,P+F,50,values_plus_missing,0.6165089341629311,0.6111896120864704,0.6218282562393919,0.6038780100308676,0.6357285122130715,6,6,28,2,available
human_source_holdout,P+F,100,values_plus_missing,0.6162489943402293,0.6230795899955616,0.6094183986848968,0.6029803905834362,0.6363376835629878,6,6,28,2,available
human_source_holdout,P+F,200,values_plus_missing,0.61271757946484,0.6287417751384705,0.5966933837912093,0.6008214531553262,0.6382418843587316,6,6,28,2,available
human_source_holdout,P+F,all,values_plus_missing,0.620817322003648,0.6310827434064946,0.6105519006008014,0.6079176911480997,0.6423003449949544,6,6,28,2,available
human_source_holdout,P+H,25,values_plus_missing,0.6000163326425982,0.5691068457543587,0.6309258195308378,0.5888731306903933,0.617907279328432,6,6,28,2,available
human_source_holdout,P+H,50,values_plus_missing,0.5868763443899134,0.5990847606298093,0.5746679281500175,0.5901390159452523,0.61604379382769,6,6,28,2,available
human_source_holdout,P+H,100,values_plus_missing,0.5952769305825067,0.6177454457224885,0.572808415442525,0.5936525641145743,0.6240261445779608,6,6,28,2,available
human_source_holdout,P+H,200,values_plus_missing,0.5930296789247423,0.6151236762607505,0.5709356815887343,0.5914848665020652,0.6204072529984309,6,6,28,2,available
human_source_holdout,P+H,all,values_plus_missing,0.5869120808858467,0.6063940625115011,0.5674300992601923,0.5873775492626937,0.6184253280122091,6,6,28,2,available
human_source_holdout,P+SC,25,values_plus_missing,0.5866648997403635,0.6302084834878353,0.5431213159928917,0.5866993885572945,0.6088882262662889,6,6,28,2,available
human_source_holdout,P+SC,50,values_plus_missing,0.6048080197550509,0.6421798492165314,0.5674361902935706,0.5989663320006205,0.6182185148770059,6,6,28,2,available
human_source_holdout,P+SC,100,values_plus_missing,0.6013744111656943,0.645599087608813,0.5571497347225757,0.5994357744043574,0.6286311655983202,6,6,28,2,available
human_source_holdout,P+SC,200,values_plus_missing,0.5980638045448364,0.6501722276025769,0.5459553814870959,0.5936773653582305,0.6230973605960066,6,6,28,2,available
human_source_holdout,P+SC,all,values_plus_missing,0.5974913648928886,0.6522536824220743,0.5427290473637029,0.594230047348773,0.621545319729931,6,6,28,2,available
human_source_holdout,P+BC,25,values_plus_missing,0.5252054906764899,0.23934993484253167,0.8110610465104483,0.5356717476217697,0.5265596800386165,6,6,28,2,available
human_source_holdout,P+BC,50,values_plus_missing,0.5261329963143491,0.2487080016936597,0.8035579909350384,0.5366327658908366,0.5370579084800615,6,6,28,2,available
human_source_holdout,P+BC,100,values_plus_missing,0.517627745114427,0.25315650402178735,0.7820989862070666,0.5280443088352239,0.5171801116804303,6,6,28,2,available
human_source_holdout,P+BC,200,values_plus_missing,0.5134449964830922,0.25286037945966816,0.7740296135065162,0.5266233499202139,0.527319560752718,6,6,28,2,available
human_source_holdout,P+BC,all,values_plus_missing,0.51451389584753,0.24340345900288327,0.7856243326921768,0.5262681901645899,0.5262229650305394,6,6,28,2,available
human_source_holdout,F+H,25,values_plus_missing,0.6241081696044067,0.6522946675906361,0.5959216716181773,0.6206922718976706,0.6623781536910194,6,6,28,2,available
human_source_holdout,F+H,50,values_plus_missing,0.6003094741287581,0.649063471755,0.5515554765025164,0.5993245916291227,0.639174814352919,6,6,28,2,available
human_source_holdout,F+H,100,values_plus_missing,0.6099463084306406,0.6612793732565597,0.5586132436047215,0.6038447144466123,0.6506698815502961,6,6,28,2,available
human_source_holdout,F+H,200,values_plus_missing,0.6111775559052907,0.6702478498201,0.5521072619904813,0.6075185026112714,0.6490411361365325,6,6,28,2,available
human_source_holdout,F+H,all,values_plus_missing,0.6133472391858281,0.6702170686908447,0.5564774096808114,0.6091000500013989,0.651086413812779,6,6,28,2,available
human_source_holdout,F+SC,25,values_plus_missing,0.6271066062752572,0.6474419994238912,0.6067712131266231,0.6125060474017453,0.6675065923963375,6,6,28,2,available
human_source_holdout,F+SC,50,values_plus_missing,0.6190457843510225,0.6561037949411858,0.5819877737608593,0.6057935969541676,0.6536271600697109,6,6,28,2,available
human_source_holdout,F+SC,100,values_plus_missing,0.6162806258814518,0.6644279088292,0.5681333429337038,0.6026755323697291,0.6549275010025946,6,6,28,2,available
human_source_holdout,F+SC,200,values_plus_missing,0.6182728712249707,0.6690572434941536,0.5674884989557876,0.6040939520646306,0.6522208871402595,6,6,28,2,available
human_source_holdout,F+SC,all,values_plus_missing,0.6174557902847646,0.6745200879376387,0.5603914926318905,0.6080129150501944,0.6549277599645053,6,6,28,2,available
