fold_type,combination,quantity,feature_mode,macro_equal_group_equal_source_BA,macro_ai_recall,macro_human_recall,macro_recording_weighted_within_experiment_BA,descriptive_mean_single_model_fold_auc,available_held_source_experiments,intended_held_source_experiments,eligible_model_count,omitted_model_count,status
human_source_holdout,R+BC,all,values_plus_missing,0.6208793533154092,0.7376272633748916,0.504131443255927,0.6176874526444709,0.6612729249853917,6,6,28,2,available
human_source_holdout,P+F,25,values_plus_missing,0.6493168394081036,0.6433556471284639,0.655278031687743,0.633655055366526,0.6709208321148544,6,6,28,2,available
human_source_holdout,P+F,50,values_plus_missing,0.6391539774783618,0.6428667899806869,0.6354411649760365,0.6261132808698947,0.6614855191122865,6,6,28,2,available
human_source_holdout,P+F,100,values_plus_missing,0.6357117085534236,0.6529091955577541,0.6185142215490931,0.6209012918875227,0.6637155535690374,6,6,28,2,available
human_source_holdout,P+F,200,values_plus_missing,0.6378825684565006,0.6568857922467196,0.6188793446662815,0.6202073720100137,0.6651211205456565,6,6,28,2,available
human_source_holdout,P+F,all,values_plus_missing,0.6371635428870408,0.6602459153825804,0.6140811703915013,0.6242692103002369,0.6680174765157755,6,6,28,2,available
human_source_holdout,P+H,25,values_plus_missing,0.6164927231585872,0.5984125613863986,0.6345728849307756,0.6123977779145168,0.6468963061843033,6,6,28,2,available
human_source_holdout,P+H,50,values_plus_missing,0.6083438441006347,0.6202764583556643,0.5964112298456054,0.6093669385093442,0.6432022758727448,6,6,28,2,available
human_source_holdout,P+H,100,values_plus_missing,0.617353498675392,0.6287290211854057,0.6059779761653782,0.6134415957999297,0.6517777841974056,6,6,28,2,available
human_source_holdout,P+H,200,values_plus_missing,0.6182172979386681,0.6231528159363554,0.6132817799409809,0.6128088398347525,0.6512804366414482,6,6,28,2,available
human_source_holdout,P+H,all,values_plus_missing,0.6182571208824952,0.6195481963799402,0.6169660453850503,0.6118992734035354,0.6497596711696456,6,6,28,2,available
human_source_holdout,P+SC,25,values_plus_missing,0.6126709423538526,0.6671131309306794,0.5582287537770256,0.6099073240193181,0.6371346374003257,6,6,28,2,available
human_source_holdout,P+SC,50,values_plus_missing,0.6314105080182395,0.6835607034820964,0.5792603125543827,0.6263767420296706,0.6482060922307046,6,6,28,2,available
human_source_holdout,P+SC,100,values_plus_missing,0.6292828182972007,0.6791297840058759,0.5794358525885256,0.6243853933350314,0.6574862463435874,6,6,28,2,available
human_source_holdout,P+SC,200,values_plus_missing,0.622643957006611,0.6773246218078111,0.5679632922054111,0.6202691652717968,0.6545776297230156,6,6,28,2,available
human_source_holdout,P+SC,all,values_plus_missing,0.6235638291369568,0.6831553472791819,0.5639723109947318,0.6206060060336779,0.653411339156678,6,6,28,2,available
human_source_holdout,P+BC,25,values_plus_missing,0.5270506061513225,0.23768633899420236,0.8164148733084425,0.5383596066420404,0.528780783879025,6,6,28,2,available
human_source_holdout,P+BC,50,values_plus_missing,0.519978109504648,0.2556623732513779,0.7842938457579178,0.5288508041588972,0.5332818660069586,6,6,28,2,available
human_source_holdout,P+BC,100,values_plus_missing,0.5163127982424889,0.251583171769667,0.7810424247153108,0.5273350918940646,0.5222126428401017,6,6,28,2,available
human_source_holdout,P+BC,200,values_plus_missing,0.5106407727937742,0.25112337809533536,0.770158167492213,0.5260075052885961,0.5260303005351875,6,6,28,2,available
human_source_holdout,P+BC,all,values_plus_missing,0.512512103253023,0.24803811789898697,0.776986088607059,0.5269287943073592,0.5204886297180261,6,6,28,2,available
human_source_holdout,F+H,25,values_plus_missing,0.6406113697058066,0.675168240346942,0.6060544990646709,0.6332039916567064,0.6929314769846415,6,6,28,2,available
human_source_holdout,F+H,50,values_plus_missing,0.6303195794292216,0.6740177996795186,0.5866213591789246,0.6251921732604946,0.6740809279022827,6,6,28,2,available
human_source_holdout,F+H,100,values_plus_missing,0.6357500707482934,0.6798541927659517,0.5916459487306351,0.6267801674302764,0.6824265976961447,6,6,28,2,available
human_source_holdout,F+H,200,values_plus_missing,0.6341070798916685,0.6832434297198376,0.5849707300634993,0.6251221166847317,0.6815302079936505,6,6,28,2,available
human_source_holdout,F+H,all,values_plus_missing,0.6328693100203194,0.6859071055938513,0.5798315144467877,0.6282166099313962,0.6828434010047539,6,6,28,2,available
human_source_holdout,F+SC,25,values_plus_missing,0.6544297115508468,0.6801825435653805,0.6286768795363131,0.641719170572126,0.7010914855679286,6,6,28,2,available
human_source_holdout,F+SC,50,values_plus_missing,0.6466373824302284,0.6842600008966707,0.609014763963786,0.6337358512463686,0.6902658077354603,6,6,28,2,available
human_source_holdout,F+SC,100,values_plus_missing,0.6448326168249955,0.691963335378753,0.5977018982712379,0.6302886536156607,0.6927753592631036,6,6,28,2,available
human_source_holdout,F+SC,200,values_plus_missing,0.6413677856435832,0.6916622901092349,0.5910732811779315,0.6303331011745947,0.69013123988676,6,6,28,2,available
human_source_holdout,F+SC,all,values_plus_missing,0.6407158991228352,0.697861220631177,0.5835705776144935,0.6314279710559179,0.6925914663782281,6,6,28,2,available
human_source_holdout,F+BC,25,values_plus_missing,0.6361631421568831,0.6407770237230467,0.6315492605907195,0.6164177761332639,0.6624679674208814,6,6,28,2,available
human_source_holdout,F+BC,50,values_plus_missing,0.625521495766547,0.6401383391115876,0.6109046524215066,0.6093451650564871,0.6462601300396997,6,6,28,2,available
human_source_holdout,F+BC,100,values_plus_missing,0.6252410001345968,0.6456061976463346,0.604875802622859,0.6064027367138289,0.6498219362304376,6,6,28,2,available
human_source_holdout,F+BC,200,values_plus_missing,0.6201061185180577,0.6446231633691681,0.5955890736669472,0.604816522865348,0.6504276635625849,6,6,28,2,available
human_source_holdout,F+BC,all,values_plus_missing,0.6191732100483115,0.64981378585978,0.588532634236843,0.6043144936544242,0.652610888774152,6,6,28,2,available
